category,country,director,douban_rate,download_url,introduce,language,main_actor,movie_time,name,publish_date
现实/剧情/记录,中国大陆,征长张 Changzheng Zhang,,ftp://ygdy8:ygdy8@yg05.dydytt.net:1002/阳光电影www.ygdy8.com.战疫2020之我是医生.HD.1080p.国语中字.mp4,电影讲述了抗疫期间，无数平凡人毅然决然地冲锋在最前沿，用血肉之躯筑起了抗击疫情的钢铁长城。,普通话,严屹宽 Yikuan Yan,,战役2020,2020-11-03(中国大陆)
剧情/喜剧,中国大陆,许宏宇 Derek Hui,7.0/10 from 102126 users,ftp://ygdy8:ygdy8@yg10.dydytt.net:1003/阳光电影www.ygdy8.com.一点就到家.HD.1080p.国语中字.mkv,魏晋北（刘昊然 饰）、彭秀兵（彭昱畅 饰）、李绍群（尹昉 饰）三个性格迥异的年轻人从大城市回到云南千年古寨，机缘巧合下共同创业，与古寨“格格不入”的他们用真诚改变了所有人，开启了一段非常疯狂、纯真的梦想之旅。,普通话,刘昊然 Haoran Liu,97分钟,Coffee or Tea?,2020-10-04(中国大陆)
动作,中国大陆,唐季礼 Stanley Tong,5.1/10 from 36034 users,ftp://ygdy8:ygdy8@yg78.dydytt.net:4116/阳光电影www.ygdy8.com.急先锋.HD.1080p.粤语中字.mkv,中国商人秦国立在英国惨遭雇佣兵组织“北极狼”绑架，秦的女儿Fareeda（徐若晗 饰）也卷入其中，遭到追杀。千钧一发之际，急先锋国际安保团队成为他们唯一的希望，由总指挥唐焕庭（成龙饰）带领雷震宇（杨洋饰）、张凯旋（艾伦饰）、弥雅（母其弥雅饰）、神雕（朱正廷饰）等组成的急先锋行动小组，上天入地，辗转全球各地施展惊险营救。解救人质的过程中，竟发现“北极狼”背后的犯罪集团还策划了一场惊天密谋……,粤语,成龙 Jackie Chan,108分钟,Vanguard/急先锋电影版,2020-09-30(中国)
动作,中国大陆,唐季礼 Stanley Tong,5.1/10 from 36034 users,ftp://ygdy8:ygdy8@yg10.dydytt.net:2003/阳光电影www.ygdy8.com.急先锋.HD.2160p.国语中英双字.mp4,中国商人秦国立在英国惨遭雇佣兵组织“北极狼”绑架，秦的女儿Fareeda（徐若晗 饰）也卷入其中，遭到追杀。千钧一发之际，急先锋国际安保团队成为他们唯一的希望，由总指挥唐焕庭（成龙饰）带领雷震宇（杨洋饰）、张凯旋（艾伦饰）、弥雅（母其弥雅饰）、神雕（朱正廷饰）等组成的急先锋行动小组，上天入地，辗转全球各地施展惊险营救。解救人质的过程中，竟发现“北极狼”背后的犯罪集团还策划了一场惊天密谋……,普通话,成龙 Jackie Chan,108分钟,Vanguard/急先锋电影版,2020-09-30(中国)
剧情/动画/奇幻,中国大陆,程腾 Teng Cheng,7.0/10 from 317970 users,ftp://ygdy8:ygdy8@yg10.dydytt.net:1004/阳光电影www.ygdy8.com.姜子牙.HD.1080p.国语中字.mkv,最值得期待的华语电影(提名),普通话,郑希 Xi Zheng,110分钟,Legend of Deification,2020-10-01(中国大陆)
喜剧,中国大陆,李智 Zhi Li,,ftp://ygdy8:ygdy8@yg10.dydytt.net:1005/阳光电影www.ygdy8.com.无疯也起浪.HD.1080p.国语中字.mp4,由开心麻花功勋艺人王成思、陶亮、冯秦川首次搭档主演的喜剧电影《无疯也起浪》目前正式定档2020年8月28日全国院线上映，成为疫情之后唯一一部喜剧电影。喜欢开心麻花电影风格和喜剧的朋友自然不会错 过《无疯也起浪》。,普通话,王成思 Chengsi Wang,90分钟,Because of Love,2020-08-28(中国大陆)
剧情/爱情/战争,中国香港,区丁平 Tony Au,7.3/10 from 1977 users,ftp://ygdy8:ygdy8@yg18.dydytt.net:7059/阳光电影www.ygdy8.com.何日君再来.BD.1080p.国粤双语中字.mkv,主竞赛单元最佳影片(提名) 区丁平,粤语/国语,梁家辉 Tony Leung,126分钟,"何日君再来/Au Revoir, Mon Amour/Hoyat gwan tsoi loi",1991-03-28(中国香港)
剧情/家庭,中国大陆,杨荔钠 Lina Yang,7.2/10 from 46839 users,ftp://ygdy8:ygdy8@yg18.dydytt.net:8059/阳光电影www.ygdy8.com.春潮.HD.1080p.国语中字.mp4,竞赛最佳剧情长片(提名) 杨荔钠,普通话,郝蕾 Lei Hao,124分钟,Spring Tide,2019-06-18(上海电影节) / 2020-05-17(中国)
悬疑/犯罪/动作/惊悚,中国大陆,吴奇 Qi Wu,,ftp://ygdy8:ygdy8@yg18.dydytt.net:8061/阳光电影www.ygdy8.com.禁锢之地.HD.1080p.国语中字.mkv,知名电视台主持人任志豪（周柏豪 饰）因节目事故导致事业跌入谷底，而一场火灾事故的幸存者同时也是被指控为杀人案嫌疑人的吴若昕（王真儿 饰）被他认定为事业转折的契机。在调查中任志豪发现吴若昕曾被维克多（罗伯特·克耐普 饰）禁锢在满是精神病人的康复中心内，为此吴若昕想尽办法逃离这座阴森恐怖的“囚牢”，随着调查的一步步推进，任志豪发现事件背后隐藏着不可告人的惊天秘密……,普通话,王真儿 Zhen'er Wang,94分钟,Imprisonment / The Trapped,2020-09-15(中国大陆网络)
喜剧/爱情/科幻,中国大陆,王韦程 Weicheng Wang,3.5/10 from 4542 users,ftp://ygdy8:ygdy8@yg18.dydytt.net:8063/阳光电影www.ygdy8.com.我的女友是机器人.HD.1080p.国语中字.mp4,对生活毫无激情的导游方元(包贝尔饰)在生日当天，邂逅了陌生的潇洒女孩(辛芷蕾饰)，两人机缘巧合度过了开心的庆生夜……一年后的生日当天，方元再次遇到了和当初“潇洒女孩”长相一模一样的机器人初一(辛芷蕾饰)，两人亦开始了朝夕相处且啼笑皆非的生活，初一也逐渐融入了和巴哥（魏翔饰）等一群朋友的生活。方元对初一逐渐暗生情愫，而初一似乎还没有理解方元的心意……,普通话,包贝尔 Bei'er Bao,120分钟,我的机器人女友,2020-09-11(中国大陆)
